time,location,Y,total_sessions,total_carts,total_checkouts,total_orders_placed
2023-12-16,baja california,Mexico,1659,60,53,4
2023-12-16,chihuahua,Mexico,1324,52,40,4
2023-12-16,sonora,Mexico,1410,50,37,3
2023-12-16,coahuila,Mexico,1206,54,40,5
2023-12-16,tamaulipas,Mexico,1283,60,42,3
2023-12-16,yucatán,Mexico,1562,53,38,5
2023-12-16,quintana roo,Mexico,1153,50,45,3
2023-12-16,michoacán,Mexico,896,47,41,2
2023-12-16,morelos,Mexico,713,22,21,1
2023-12-16,tabasco,Mexico,851,33,37,6
2023-12-16,guerrero,Mexico,452,20,20,5
2023-12-16,chiapas,Mexico,467,28,19,0
2023-12-16,san luis potosí,Mexico,549,19,17,0
2023-12-16,hidalgo,Mexico,551,22,20,4
2023-12-16,oaxaca,Mexico,220,6,5,0
2023-12-16,aguascalientes,Mexico,443,12,13,2
2023-12-16,zacatecas,Mexico,273,12,12,1
2023-12-16,baja california sur,Mexico,317,10,8,1
2023-12-16,durango,Mexico,334,13,13,3
2023-12-16,campeche,Mexico,345,7,7,0
2023-12-16,nayarit,Mexico,227,4,1,0
2023-12-16,colima,Mexico,219,12,3,0
2023-12-16,tlaxcala,Mexico,218,9,9,1
2023-12-17,mexico city,Mexico,15057,692,636,84
2023-12-17,méxico,Mexico,6904,296,223,37
2023-12-17,nuevo león,Mexico,5162,193,149,17
2023-12-17,jalisco,Mexico,6816,337,262,24
2023-12-17,veracruz,Mexico,2153,68,66,5
2023-12-17,guanajuato,Mexico,1695,71,53,6
2023-12-17,sinaloa,Mexico,1669,62,38,3
2023-12-17,puebla,Mexico,1784,80,53,7
2023-12-17,querétaro,Mexico,1604,75,73,4
2023-12-17,baja california,Mexico,1570,36,28,2
2023-12-17,chihuahua,Mexico,1367,48,33,4
2023-12-17,sonora,Mexico,1432,53,42,2
2023-12-17,coahuila,Mexico,1226,37,32,5
2023-12-17,tamaulipas,Mexico,1199,40,33,2
2023-12-17,yucatán,Mexico,1446,65,51,3
2023-12-17,quintana roo,Mexico,1157,51,51,7
2023-12-17,michoacán,Mexico,1080,53,53,4
2023-12-17,morelos,Mexico,813,37,33,3
2023-12-17,tabasco,Mexico,751,26,21,1
2023-12-17,guerrero,Mexico,451,9,8,0
2023-12-17,chiapas,Mexico,427,18,15,3
2023-12-17,san luis potosí,Mexico,534,21,20,1
2023-12-17,hidalgo,Mexico,569,28,17,1
2023-12-17,oaxaca,Mexico,244,12,12,2
2023-12-17,aguascalientes,Mexico,456,15,14,2
2023-12-17,zacatecas,Mexico,331,16,9,0
2023-12-17,baja california sur,Mexico,312,14,8,0
2023-12-17,durango,Mexico,321,13,6,2
2023-12-17,campeche,Mexico,366,19,26,5
2023-12-17,nayarit,Mexico,270,9,8,1
2023-12-17,colima,Mexico,225,5,5,0
2023-12-17,tlaxcala,Mexico,235,6,3,1
2023-12-18,mexico city,Mexico,17175,814,739,111
2023-12-18,méxico,Mexico,7406,340,313,48
2023-12-18,nuevo león,Mexico,6009,258,204,30
2023-12-18,jalisco,Mexico,7084,328,293,31
2023-12-18,veracruz,Mexico,2467,112,89,5
2023-12-18,guanajuato,Mexico,1875,76,60,6
2023-12-18,sinaloa,Mexico,1837,68,55,3
2023-12-18,puebla,Mexico,2120,90,76,5
2023-12-18,querétaro,Mexico,1685,81,60,6
2023-12-18,baja california,Mexico,1789,62,53,1
2023-12-18,chihuahua,Mexico,1503,56,38,3
2023-12-18,sonora,Mexico,1608,69,52,7
2023-12-18,coahuila,Mexico,1413,53,43,3
2023-12-18,tamaulipas,Mexico,1348,42,26,3
2023-12-18,yucatán,Mexico,1715,63,59,5
2023-12-18,quintana roo,Mexico,1272,54,52,8
2023-12-18,michoacán,Mexico,1179,47,58,7
2023-12-18,morelos,Mexico,862,30,25,2
2023-12-18,tabasco,Mexico,931,41,36,2
2023-12-18,guerrero,Mexico,499,15,16,4
2023-12-18,chiapas,Mexico,553,21,15,1
2023-12-18,san luis potosí,Mexico,623,30,17,3
2023-12-18,hidalgo,Mexico,606,32,18,1
2023-12-18,oaxaca,Mexico,321,9,7,1
2023-12-18,aguascalientes,Mexico,511,26,23,2
2023-12-18,zacatecas,Mexico,345,15,12,1
2023-12-18,baja california sur,Mexico,329,16,8,0
2023-12-18,durango,Mexico,347,17,16,3
2023-12-18,campeche,Mexico,405,18,9,2
2023-12-18,nayarit,Mexico,299,9,8,1
2023-12-18,colima,Mexico,245,13,12,1
2023-12-18,tlaxcala,Mexico,300,19,15,2
2023-12-19,mexico city,Mexico,17884,943,862,120
2023-12-19,méxico,Mexico,7625,376,328,49
2023-12-19,nuevo león,Mexico,6151,264,224,17
2023-12-19,jalisco,Mexico,7295,367,308,25
2023-12-19,veracruz,Mexico,2222,105,89,8
2023-12-19,guanajuato,Mexico,1830,92,67,10
2023-12-19,sinaloa,Mexico,1760,79,63,7
2023-12-19,puebla,Mexico,2038,95,84,4
2023-12-19,querétaro,Mexico,1608,61,49,4
2023-12-19,baja california,Mexico,1733,66,48,2
2023-12-19,chihuahua,Mexico,1460,60,44,4
2023-12-19,sonora,Mexico,1561,63,46,2
2023-12-19,coahuila,Mexico,1382,57,46,9
2023-12-19,tamaulipas,Mexico,1384,53,44,1
2023-12-19,yucatán,Mexico,1641,76,66,8
2023-12-19,quintana roo,Mexico,1236,58,51,2
2023-12-19,michoacán,Mexico,1127,53,46,5
2023-12-19,morelos,Mexico,809,35,31,2
2023-12-19,tabasco,Mexico,876,27,20,1
2023-12-19,guerrero,Mexico,437,19,14,1
2023-12-19,chiapas,Mexico,513,20,19,0
2023-12-19,san luis potosí,Mexico,637,28,20,4
2023-12-19,hidalgo,Mexico,592,33,35,5
2023-12-19,oaxaca,Mexico,263,7,10,0
2023-12-19,aguascalientes,Mexico,484,23,21,3
2023-12-19,zacatecas,Mexico,381,10,14,1
2023-12-19,baja california sur,Mexico,342,21,9,2
2023-12-19,durango,Mexico,382,11,15,2
2023-12-19,campeche,Mexico,394,25,13,2
2023-12-19,nayarit,Mexico,277,12,14,0
2023-12-19,colima,Mexico,250,10,11,1
2023-12-19,tlaxcala,Mexico,232,10,7,0
2023-12-20,mexico city,Mexico,18152,899,860,128
2023-12-20,méxico,Mexico,7734,383,377,57
2023-12-20,nuevo león,Mexico,6307,266,233,18
2023-12-20,jalisco,Mexico,7092,365,319,31
2023-12-20,veracruz,Mexico,2247,89,76,5
2023-12-20,guanajuato,Mexico,1904,77,74,8
2023-12-20,sinaloa,Mexico,1833,86,59,3
2023-12-20,puebla,Mexico,2013,93,86,10
2023-12-20,querétaro,Mexico,1614,87,57,6
2023-12-20,baja california,Mexico,1707,55,48,3
2023-12-20,chihuahua,Mexico,1434,53,40,3
2023-12-20,sonora,Mexico,1424,57,54,3
2023-12-20,coahuila,Mexico,1361,67,44,4
2023-12-20,tamaulipas,Mexico,1370,49,44,2
2023-12-20,yucatán,Mexico,1665,63,59,2
2023-12-20,quintana roo,Mexico,1265,71,67,8
2023-12-20,michoacán,Mexico,1082,46,42,8
2023-12-20,morelos,Mexico,815,27,30,3
2023-12-20,tabasco,Mexico,770,34,28,4
2023-12-20,guerrero,Mexico,455,14,20,2
2023-12-20,chiapas,Mexico,449,18,20,3
2023-12-20,san luis potosí,Mexico,676,33,27,2
2023-12-20,hidalgo,Mexico,629,32,29,10
2023-12-20,oaxaca,Mexico,230,10,8,0
2023-12-20,aguascalientes,Mexico,523,17,19,2
2023-12-20,zacatecas,Mexico,340,20,13,1
2023-12-20,baja california sur,Mexico,331,12,11,0
2023-12-20,durango,Mexico,360,10,6,0
2023-12-20,campeche,Mexico,336,13,5,1
2023-12-20,nayarit,Mexico,293,12,11,0
2023-12-20,colima,Mexico,239,4,5,0
2023-12-20,tlaxcala,Mexico,244,10,10,0
2023-12-21,mexico city,Mexico,18358,815,691,97
2023-12-21,méxico,Mexico,7869,360,297,34
2023-12-21,nuevo león,Mexico,6256,248,201,9
2023-12-21,jalisco,Mexico,7352,337,281,20
2023-12-21,veracruz,Mexico,2359,103,68,4
2023-12-21,guanajuato,Mexico,1870,79,62,9
2023-12-21,sinaloa,Mexico,1916,70,62,3
2023-12-21,puebla,Mexico,2123,94,81,6
2023-12-21,querétaro,Mexico,1497,64,45,3
2023-12-21,baja california,Mexico,1752,58,37,1
2023-12-21,chihuahua,Mexico,1402,59,40,3
2023-12-21,sonora,Mexico,1468,56,34,2
2023-12-21,coahuila,Mexico,1431,52,41,3
2023-12-21,tamaulipas,Mexico,1332,45,29,1
2023-12-21,yucatán,Mexico,1688,74,55,5
2023-12-21,quintana roo,Mexico,1197,59,56,5
2023-12-21,michoacán,Mexico,1115,34,33,4
2023-12-21,morelos,Mexico,833,38,25,0
2023-12-21,tabasco,Mexico,853,28,27,2
2023-12-21,guerrero,Mexico,446,18,17,0
2023-12-21,chiapas,Mexico,522,24,17,4
2023-12-21,san luis potosí,Mexico,679,24,19,1
2023-12-21,hidalgo,Mexico,589,24,26,2
2023-12-21,oaxaca,Mexico,279,14,13,1
2023-12-21,aguascalientes,Mexico,492,22,11,0
2023-12-21,zacatecas,Mexico,379,16,12,0
2023-12-21,baja california sur,Mexico,350,10,5,2
2023-12-21,durango,Mexico,378,15,13,4
2023-12-21,campeche,Mexico,340,11,10,0
