time,location,Y,carts,payment,purchase
2024-06-30,quintana roo,1465,46,37,5
2024-06-30,méxico,7374,267,221,30
2024-06-30,puebla,1979,68,54,5
2024-06-30,hidalgo,731,25,25,2
2024-06-30,querétaro,1623,69,32,1
2024-06-30,oaxaca,291,13,8,2
2024-06-30,nayarit,242,11,8,2
2024-06-30,durango,332,8,3,0
2024-06-30,colima,311,19,20,3
2024-06-30,baja california,1484,50,36,2
2024-06-30,mexico city,14939,668,522,45
2024-06-30,chiapas,543,21,13,0
2024-06-30,guanajuato,2084,70,47,7
2024-06-30,veracruz,2217,71,58,8
2024-06-30,campeche,379,15,17,2
2024-06-30,tabasco,1105,46,38,4
2024-06-30,baja california sur,318,7,5,0
2024-06-30,sonora,1405,49,41,3
2024-07-01,tlaxcala,307,20,14,1
2024-07-01,michoacán,1526,59,46,7
2024-07-01,yucatán,1376,37,36,4
2024-07-01,guerrero,682,20,18,4
2024-07-01,tamaulipas,1301,38,28,4
2024-07-01,san luis potosí,741,24,9,3
2024-07-01,sinaloa,1668,65,40,3
2024-07-01,zacatecas,426,18,11,0
2024-07-01,morelos,1116,36,15,1
2024-07-01,coahuila,1773,161,137,1
2024-07-01,jalisco,6316,233,163,18
2024-07-01,aguascalientes,434,18,8,2
2024-07-01,nuevo león,5925,223,157,20
2024-07-01,chihuahua,1690,64,38,2
2024-07-01,quintana roo,1598,58,51,4
2024-07-01,méxico,8728,322,263,28
2024-07-01,puebla,2273,83,63,6
2024-07-01,hidalgo,817,30,23,1
2024-07-01,querétaro,1879,71,70,10
2024-07-01,oaxaca,309,8,9,0
2024-07-01,nayarit,276,18,16,1
2024-07-01,durango,362,12,6,2
2024-07-01,colima,349,22,14,3
2024-07-01,baja california,1746,51,39,1
2024-07-01,mexico city,18769,826,690,84
2024-07-01,chiapas,653,17,19,1
2024-07-01,guanajuato,2320,83,48,6
2024-07-01,veracruz,2293,68,52,3
2024-07-01,campeche,394,24,14,0
2024-07-01,tabasco,1194,45,42,5
2024-07-01,baja california sur,397,14,11,1
2024-07-01,sonora,1644,76,56,6
2024-07-02,tlaxcala,354,14,13,3
2024-07-02,michoacán,1626,64,52,3
2024-07-02,yucatán,1547,52,56,6
2024-07-02,guerrero,736,21,16,1
2024-07-02,tamaulipas,1392,45,32,3
2024-07-02,san luis potosí,810,26,20,2
2024-07-02,sinaloa,1722,61,54,7
2024-07-02,zacatecas,557,27,21,4
2024-07-02,morelos,1224,36,21,2
2024-07-02,coahuila,1909,246,238,33
2024-07-02,jalisco,7198,264,193,22
2024-07-02,aguascalientes,587,20,16,0
2024-07-02,nuevo león,6580,269,202,26
2024-07-02,chihuahua,1871,68,46,7
2024-07-02,quintana roo,1554,40,29,4
2024-07-02,méxico,9707,322,257,24
2024-07-02,puebla,2666,93,75,8
2024-07-02,hidalgo,844,34,25,3
2024-07-02,querétaro,2118,88,70,5
2024-07-02,oaxaca,367,11,12,0
2024-07-02,nayarit,288,14,7,1
2024-07-02,durango,415,13,11,2
2024-07-02,colima,395,15,9,3
2024-07-02,baja california,1852,65,46,3
2024-07-02,mexico city,21622,1019,813,102
2024-07-02,chiapas,649,27,17,0
2024-07-02,guanajuato,2546,78,59,5
2024-07-02,veracruz,2436,83,69,8
2024-07-02,campeche,402,14,8,1
2024-07-02,tabasco,1322,46,32,2
2024-07-02,baja california sur,422,18,14,2
2024-07-02,sonora,1736,65,47,1
2024-07-03,tlaxcala,363,13,10,2
2024-07-03,michoacán,1584,62,40,6
2024-07-03,yucatán,1566,55,43,4
2024-07-03,guerrero,764,22,18,0
2024-07-03,tamaulipas,1488,47,28,3
2024-07-03,san luis potosí,906,30,28,3
2024-07-03,sinaloa,1852,63,49,7
2024-07-03,zacatecas,550,19,8,0
2024-07-03,morelos,1231,38,31,6
2024-07-03,coahuila,2055,310,285,48
2024-07-03,jalisco,7347,299,218,19
2024-07-03,aguascalientes,591,24,18,1
2024-07-03,nuevo león,7099,275,209,17
2024-07-03,chihuahua,1888,75,50,7
2024-07-03,quintana roo,1467,46,42,5
2024-07-03,méxico,10047,352,286,34
2024-07-03,puebla,2776,111,81,9
2024-07-03,hidalgo,912,36,33,4
2024-07-03,querétaro,2192,81,38,3
2024-07-03,oaxaca,381,15,15,0
2024-07-03,nayarit,281,9,5,0
2024-07-03,durango,415,10,6,0
2024-07-03,colima,357,18,8,1
2024-07-03,baja california,1909,61,44,3
2024-07-03,mexico city,22804,1085,878,103
2024-07-03,chiapas,647,40,18,1
2024-07-03,guanajuato,2812,103,67,5
2024-07-03,veracruz,2493,88,67,10
2024-07-03,campeche,482,19,16,1
2024-07-03,tabasco,1351,62,42,3
2024-07-03,baja california sur,424,14,11,0
2024-07-03,sonora,1831,53,35,4
2024-07-04,tlaxcala,308,18,19,1
2024-07-04,michoacán,1308,50,54,5
2024-07-04,yucatán,1007,26,28,4
2024-07-04,guerrero,574,21,18,3
2024-07-04,tamaulipas,1142,48,32,1
2024-07-04,san luis potosí,642,20,20,1
2024-07-04,sinaloa,1434,56,41,10
2024-07-04,zacatecas,372,8,8,0
2024-07-04,morelos,974,41,29,1
2024-07-04,coahuila,1629,281,267,3
2024-07-04,jalisco,5649,213,160,12
2024-07-04,aguascalientes,452,13,11,0
2024-07-04,nuevo león,5356,211,176,21
2024-07-04,chihuahua,1443,44,38,0
2024-07-04,quintana roo,1113,26,19,1
2024-07-04,méxico,7756,298,244,32
2024-07-04,puebla,2161,64,53,5
2024-07-04,hidalgo,656,23,20,2
2024-07-04,querétaro,1586,58,51,9
2024-07-04,oaxaca,309,14,12,1
2024-07-04,nayarit,235,7,9,0
2024-07-04,durango,323,6,12,1
2024-07-04,colima,272,9,11,3
2024-07-04,baja california,1681,50,46,3
2024-07-04,mexico city,17590,857,762,54
2024-07-04,chiapas,496,18,19,5
2024-07-04,guanajuato,2138,54,54,8
2024-07-04,veracruz,1966,69,56,6
2024-07-04,campeche,318,8,7,1
2024-07-04,tabasco,1059,36,39,4
2024-07-04,baja california sur,337,20,9,1
2024-07-04,sonora,1268,38,16,1
2024-07-05,tlaxcala,223,1,5,1
2024-07-05,michoacán,1013,41,36,5
2024-07-05,yucatán,1203,46,38,3
2024-07-05,guerrero,495,16,12,0
2024-07-05,tamaulipas,934,23,14,3
2024-07-05,san luis potosí,563,27,19,4
2024-07-05,sinaloa,1204,36,44,6
2024-07-05,zacatecas,304,9,5,0
2024-07-05,morelos,786,24,20,0
2024-07-05,coahuila,1221,187,175,4
2024-07-05,jalisco,4537,212,177,18
2024-07-05,aguascalientes,344,6,8,0
2024-07-05,nuevo león,4529,179,158,24
2024-07-05,chihuahua,1185,40,39,4
2024-07-05,quintana roo,1139,33,26,2
2024-07-05,méxico,6388,262,211,30
2024-07-05,puebla,1661,53,45,7
2024-07-05,hidalgo,554,17,19,5
2024-07-05,querétaro,1296,43,35,5
2024-07-05,oaxaca,236,11,12,0
2024-07-05,nayarit,155,4,7,2
2024-07-05,durango,257,11,12,0
2024-07-05,colima,229,12,11,2
2024-07-05,baja california,1300,45,38,0
2024-07-05,mexico city,14276,681,616,61
2024-07-05,chiapas,389,11,10,3
2024-07-05,guanajuato,1725,61,52,6
2024-07-05,veracruz,1649,60,55,8
2024-07-05,campeche,348,18,10,1
2024-07-05,tabasco,951,33,25,4
2024-07-05,baja california sur,255,10,2,0
2024-07-05,sonora,1011,38,33,3
2024-07-06,tlaxcala,238,10,11,1
2024-07-06,michoacán,970,30,27,4
2024-07-06,yucatán,1279,54,52,5
2024-07-06,guerrero,567,17,21,1
2024-07-06,tamaulipas,1023,34,25,1
2024-07-06,san luis potosí,501,18,16,1
2024-07-06,sinaloa,1237,45,44,12
2024-07-06,zacatecas,334,18,14,0
2024-07-06,morelos,868,31,18,1
2024-07-06,coahuila,1074,38,30,5
2024-07-06,jalisco,4655,206,184,21
2024-07-06,aguascalientes,332,15,15,1
2024-07-06,nuevo león,4532,196,144,18
2024-07-06,chihuahua,1285,44,42,8
2024-07-06,quintana roo,1241,42,45,5
2024-07-06,méxico,6407,233,198,18
2024-07-06,puebla,1588,52,59,6
2024-07-06,hidalgo,508,18,13,2
2024-07-06,querétaro,1264,51,38,6
2024-07-06,oaxaca,205,4,3,0
2024-07-06,nayarit,170,5,3,0
2024-07-06,durango,260,7,12,3
2024-07-06,colima,239,7,7,0
2024-07-06,baja california,1358,47,36,8
2024-07-06,mexico city,14079,534,486,66
2024-07-06,chiapas,456,18,20,4
2024-07-06,guanajuato,1779,52,61,5
2024-07-06,veracruz,1649,56,50,8
2024-07-06,campeche,340,18,8,0
2024-07-06,tabasco,834,29,28,2
2024-07-06,baja california sur,266,8,9,2
2024-07-06,sonora,1091,37,27,2
2024-07-07,tlaxcala,269,16,20,2
2024-07-07,michoacán,1046,39,45,7
2024-07-07,yucatán,1228,54,49,9
2024-07-07,guerrero,510,9,10,1
2024-07-07,tamaulipas,1006,37,35,4
2024-07-07,san luis potosí,538,26,26,5
2024-07-07,sinaloa,1207,55,54,5
2024-07-07,zacatecas,287,6,9,2
2024-07-07,morelos,842,26,31,5
2024-07-07,coahuila,1189,55,45,6
2024-07-07,jalisco,4684,212,149,17
2024-07-07,aguascalientes,330,12,13,0
2024-07-07,nuevo león,4915,198,158,13
2024-07-07,chihuahua,1344,62,41,2
2024-07-07,quintana roo,1281,52,45,3
2024-07-07,méxico,6402,250,258,36
2024-07-07,puebla,1665,54,58,5
2024-07-07,hidalgo,515,20,17,2
2024-07-07,querétaro,1350,52,42,6
2024-07-07,oaxaca,231,8,8,0
2024-07-07,nayarit,178,10,4,0
2024-07-07,durango,324,7,7,1
2024-07-07,colima,223,6,5,3
2024-07-07,baja california,1456,46,28,0
2024-07-07,mexico city,13584,536,500,80
2024-07-07,chiapas,446,14,12,0
2024-07-07,guanajuato,1792,72,69,7
2024-07-07,veracruz,1715,69,60,8
2024-07-07,campeche,350,13,13,0
2024-07-07,tabasco,884,34,30,3
2024-07-07,baja california sur,291,7,7,2
2024-07-07,sonora,1177,39,36,1
2024-07-08,tlaxcala,260,12,12,2
2024-07-08,michoacán,1258,42,31,4
2024-07-08,yucatán,1498,50,42,5
2024-07-08,guerrero,601,28,19,0
2024-07-08,tamaulipas,1310,42,43,3
2024-07-08,san luis potosí,682,30,25,6
2024-07-08,sinaloa,1560,60,55,7
2024-07-08,zacatecas,402,16,10,2
2024-07-08,morelos,936,40,27,1
2024-07-08,coahuila,1565,159,129,3
2024-07-08,jalisco,6003,237,201,25
2024-07-08,aguascalientes,447,20,19,2
2024-07-08,nuevo león,6098,204,166,28
2024-07-08,chihuahua,1672,63,50,6
2024-07-08,quintana roo,1449,58,45,2
2024-07-08,méxico,7724,286,249,32
2024-07-08,puebla,2034,71,66,6
2024-07-08,hidalgo,631,16,23,4
2024-07-08,querétaro,1587,54,49,9
2024-07-08,oaxaca,273,15,12,0
2024-07-08,nayarit,219,6,2,0
2024-07-08,durango,303,10,6,0
2024-07-08,colima,318,13,8,2
2024-07-08,baja california,1615,58,45,6
2024-07-08,mexico city,16788,788,628,68
2024-07-08,chiapas,535,21,23,4
2024-07-08,guanajuato,2152,68,63,5
2024-07-08,veracruz,1944,85,64,4
2024-07-08,campeche,401,9,12,3
2024-07-08,tabasco,1176,45,47,5
2024-07-08,baja california sur,349,11,7,0
2024-07-08,sonora,1464,51,51,5
2024-07-09,tlaxcala,298,9,10,1
2024-07-09,michoacán,1508,60,46,5
2024-07-09,yucatán,1542,52,42,6
2024-07-09,guerrero,649,25,23,2
2024-07-09,tamaulipas,1390,43,31,1
2024-07-09,san luis potosí,829,31,15,2
2024-07-09,sinaloa,1768,73,60,6
2024-07-09,zacatecas,463,18,16,1
2024-07-09,morelos,1136,30,35,7
2024-07-09,coahuila,1887,262,249,3
2024-07-09,jalisco,6476,266,194,28
2024-07-09,aguascalientes,571,15,25,1
2024-07-09,nuevo león,6596,276,218,23
2024-07-09,chihuahua,1858,74,52,7
2024-07-09,quintana roo,1513,48,50,8
2024-07-09,méxico,8951,354,293,20
2024-07-09,puebla,2393,96,84,7
2024-07-09,hidalgo,765,31,21,3
2024-07-09,querétaro,1869,81,69,11
2024-07-09,oaxaca,325,20,15,4
2024-07-09,nayarit,262,6,13,2
2024-07-09,durango,335,12,11,0
2024-07-09,colima,335,12,12,2
2024-07-09,baja california,1721,60,56,5
2024-07-09,mexico city,19865,1006,904,82
2024-07-09,chiapas,659,20,17,1
2024-07-09,guanajuato,2442,84,71,12
2024-07-09,veracruz,2308,81,66,3
2024-07-09,campeche,445,20,11,1
2024-07-09,tabasco,1268,44,39,2
2024-07-09,baja california sur,405,16,13,1
2024-07-09,sonora,1631,67,42,6
2024-07-10,tlaxcala,339,12,12,1
2024-07-10,michoacán,1581,68,44,5
2024-07-10,yucatán,1636,68,60,4
2024-07-10,guerrero,711,30,19,4
2024-07-10,tamaulipas,1434,58,44,3
2024-07-10,san luis potosí,836,30,32,4
2024-07-10,sinaloa,1905,69,45,5
2024-07-10,zacatecas,437,20,13,3
2024-07-10,morelos,1200,39,28,1
2024-07-10,coahuila,1872,321,304,9
2024-07-10,jalisco,7233,280,248,27
2024-07-10,aguascalientes,550,23,16,1
2024-07-10,nuevo león,7163,315,222,19
2024-07-10,chihuahua,2001,60,39,1
2024-07-10,quintana roo,1584,57,35,3
2024-07-10,méxico,9353,353,267,31
2024-07-10,puebla,2534,92,67,4
2024-07-10,hidalgo,773,29,32,3
2024-07-10,querétaro,2171,86,69,4
2024-07-10,oaxaca,338,8,12,3
2024-07-10,nayarit,230,14,6,0
2024-07-10,durango,349,11,5,0
2024-07-10,colima,358,19,18,1
2024-07-10,baja california,1841,59,49,6
2024-07-10,mexico city,22148,1130,965,90
2024-07-10,chiapas,652,34,26,4
2024-07-10,guanajuato,2494,110,78,12
2024-07-10,veracruz,2461,90,69,9
2024-07-10,campeche,463,23,26,4
2024-07-10,tabasco,1270,49,32,4
2024-07-10,baja california sur,446,14,10,1
2024-07-10,sonora,1719,68,39,2
2024-07-11,tlaxcala,341,12,5,0
2024-07-11,michoacán,1997,69,47,5
2024-07-11,yucatán,1906,66,43,4
2024-07-11,guerrero,840,33,26,4
2024-07-11,tamaulipas,1606,65,36,4
2024-07-11,san luis potosí,1082,53,27,3
2024-07-11,sinaloa,2245,93,59,4
2024-07-11,zacatecas,529,31,16,2
2024-07-11,morelos,1259,42,28,1
2024-07-11,coahuila,2086,324,303,5
2024-07-11,jalisco,6303,230,170,19
2024-07-11,aguascalientes,631,15,12,0
2024-07-11,nuevo león,8114,307,223,21
2024-07-11,chihuahua,2364,103,73,3
2024-07-11,quintana roo,1425,41,36,3
2024-07-11,méxico,8169,280,243,28
2024-07-11,puebla,2097,79,58,3
2024-07-11,hidalgo,845,26,21,2
2024-07-11,querétaro,2176,68,69,6
2024-07-11,oaxaca,365,11,9,1
2024-07-11,nayarit,289,8,7,1
2024-07-11,durango,421,23,14,2
2024-07-11,colima,407,20,16,0
2024-07-11,baja california,2107,69,43,2
2024-07-11,mexico city,20978,1055,903,97
2024-07-11,chiapas,729,35,21,3
2024-07-11,guanajuato,2938,112,89,8
2024-07-11,veracruz,2599,77,54,1
2024-07-11,campeche,535,23,21,2
2024-07-11,tabasco,1391,36,29,0
2024-07-11,baja california sur,505,18,11,3
2024-07-11,sonora,1914,62,47,3
2024-07-12,tlaxcala,307,19,12,0
2024-07-12,michoacán,1792,62,47,6
2024-07-12,yucatán,1685,67,46,6
2024-07-12,guerrero,807,31,20,0
2024-07-12,tamaulipas,1555,51,38,1
2024-07-12,san luis potosí,966,46,29,6
2024-07-12,sinaloa,2215,84,63,7
2024-07-12,zacatecas,540,13,12,1
2024-07-12,morelos,1226,40,33,2
2024-07-12,coahuila,2103,348,324,2
2024-07-12,jalisco,3867,153,142,20
2024-07-12,aguascalientes,643,23,19,3
2024-07-12,nuevo león,7560,242,181,29
2024-07-12,chihuahua,2263,90,71,6
2024-07-12,quintana roo,885,25,26,2
2024-07-12,méxico,5404,204,175,19
2024-07-12,puebla,1285,57,51,5
2024-07-12,hidalgo,797,34,28,2
2024-07-12,querétaro,2036,60,41,9
2024-07-12,oaxaca,347,10,7,0
2024-07-12,nayarit,297,13,5,1
2024-07-12,durango,460,20,20,1
2024-07-12,colima,354,12,6,1
2024-07-12,baja california,2047,87,64,6
2024-07-12,mexico city,17353,826,710,67
2024-07-12,chiapas,707,19,16,2
2024-07-12,guanajuato,2704,73,45,6
2024-07-12,veracruz,2504,78,51,4
2024-07-12,campeche,435,18,6,1
2024-07-12,tabasco,1215,46,42,2
2024-07-12,baja california sur,487,17,12,0
2024-07-12,sonora,1878,51,42,2
2024-07-13,tlaxcala,323,12,10,1
2024-07-13,michoacán,2280,80,50,2
2024-07-13,yucatán,2145,79,52,2
2024-07-13,guerrero,983,32,30,1
2024-07-13,tamaulipas,1803,69,47,2
2024-07-13,san luis potosí,1074,32,23,6
2024-07-13,sinaloa,2394,84,62,8
2024-07-13,zacatecas,568,23,22,3
2024-07-13,morelos,1568,54,46,7
2024-07-13,coahuila,2343,340,312,3
2024-07-13,jalisco,3863,148,122,17
2024-07-13,aguascalientes,703,11,17,1
2024-07-13,nuevo león,8607,273,208,22
2024-07-13,chihuahua,2514,83,66,11
2024-07-13,quintana roo,814,30,28,2
2024-07-13,méxico,5556,210,174,20
2024-07-13,puebla,1410,48,58,10
2024-07-13,hidalgo,926,42,34,6
2024-07-13,querétaro,2339,90,49,5
2024-07-13,oaxaca,404,17,11,0
2024-07-13,nayarit,318,7,6,3
2024-07-13,durango,545,25,13,0
2024-07-13,colima,378,8,7,1
2024-07-13,baja california,2148,66,49,2
2024-07-13,mexico city,18624,920,746,67
2024-07-13,chiapas,788,23,21,2
2024-07-13,guanajuato,3155,90,64,5
2024-07-13,veracruz,3050,95,69,7
2024-07-13,campeche,678,21,20,3
2024-07-13,tabasco,1518,54,32,3
2024-07-13,baja california sur,500,18,14,2
2024-07-13,sonora,2098,70,44,4
2024-07-14,tlaxcala,339,13,6,1
2024-07-14,michoacán,1826,79,63,8
2024-07-14,yucatán,1879,66,59,4
2024-07-14,guerrero,821,23,14,0
2024-07-14,tamaulipas,1618,50,50,4
2024-07-14,san luis potosí,916,30,25,8
2024-07-14,sinaloa,1985,69,59,7
2024-07-14,zacatecas,505,20,16,3
2024-07-14,morelos,1316,46,40,7
2024-07-14,coahuila,2064,337,312,3
2024-07-14,jalisco,3715,137,136,22
2024-07-14,aguascalientes,585,19,11,2
2024-07-14,nuevo león,7227,277,225,31
2024-07-14,chihuahua,2222,67,56,7
2024-07-14,quintana roo,777,30,36,6
2024-07-14,méxico,5357,235,205,28
2024-07-14,puebla,1243,37,33,5
2024-07-14,hidalgo,788,36,40,2
2024-07-14,querétaro,1976,94,60,7
2024-07-14,oaxaca,362,6,10,0
2024-07-14,nayarit,291,5,1,0
2024-07-14,durango,471,20,9,1
2024-07-14,colima,387,11,10,1
2024-07-14,baja california,1872,48,36,2
2024-07-14,mexico city,15994,876,766,62
2024-07-14,chiapas,742,33,22,0
2024-07-14,guanajuato,2768,94,56,8
2024-07-14,veracruz,2652,82,63,5
2024-07-14,campeche,525,20,15,0
2024-07-14,tabasco,1338,48,34,4
2024-07-14,baja california sur,482,16,11,2
2024-07-14,sonora,1803,53,36,3
2024-07-15,tlaxcala,261,7,6,1
2024-07-15,michoacán,1772,82,61,8
2024-07-15,yucatán,1862,59,59,8
2024-07-15,guerrero,747,27,21,4
2024-07-15,tamaulipas,1530,58,39,5
2024-07-15,san luis potosí,875,34,26,3
2024-07-15,sinaloa,2127,101,70,7
2024-07-15,zacatecas,485,14,11,0
2024-07-15,morelos,1154,36,25,4
2024-07-15,coahuila,2067,334,324,4
2024-07-15,jalisco,5689,284,222,32
2024-07-15,aguascalientes,563,20,16,0
2024-07-15,nuevo león,7105,307,237,30
2024-07-15,chihuahua,2183,91,73,10
2024-07-15,quintana roo,1212,46,38,4
2024-07-15,méxico,7291,324,267,36
2024-07-15,puebla,1752,87,69,7
2024-07-15,hidalgo,772,24,22,1
2024-07-15,querétaro,1955,97,69,6
2024-07-15,oaxaca,355,13,15,2
2024-07-15,nayarit,269,11,7,1
2024-07-15,durango,461,14,14,0
2024-07-15,colima,347,20,17,2
2024-07-15,baja california,1975,82,57,2
2024-07-15,mexico city,18284,973,815,84
2024-07-15,chiapas,589,22,18,3
2024-07-15,guanajuato,2671,107,71,10
2024-07-15,veracruz,2488,93,69,9
2024-07-15,campeche,486,23,8,1
2024-07-15,tabasco,1281,53,42,5
2024-07-15,baja california sur,442,20,12,0
2024-07-15,sonora,1890,70,50,6
2024-07-16,tlaxcala,443,21,21,2
2024-07-16,michoacán,2568,75,56,7
2024-07-16,yucatán,2475,105,79,8
2024-07-16,guerrero,1116,44,28,1
2024-07-16,tamaulipas,2197,95,75,10
2024-07-16,san luis potosí,1307,43,43,6
2024-07-16,sinaloa,2738,127,82,15
2024-07-16,zacatecas,638,24,14,2
2024-07-16,morelos,1606,50,33,4
2024-07-16,coahuila,2901,366,317,5
2024-07-16,jalisco,11098,540,361,48
2024-07-16,aguascalientes,874,34,26,7
2024-07-16,nuevo león,9489,401,287,34
2024-07-16,chihuahua,3112,133,83,10
2024-07-16,quintana roo,2666,139,89,11
2024-07-16,méxico,13878,586,422,67
2024-07-16,puebla,3868,183,122,19
2024-07-16,hidalgo,1136,51,41,6
2024-07-16,querétaro,2699,126,78,12
2024-07-16,oaxaca,575,15,9,1
2024-07-16,nayarit,365,17,18,2
2024-07-16,durango,693,25,11,2
2024-07-16,colima,533,25,18,1
2024-07-16,baja california,2805,82,59,4
2024-07-16,mexico city,28741,1379,1109,137
2024-07-16,chiapas,889,33,27,3
2024-07-16,guanajuato,3761,142,97,11
2024-07-16,veracruz,3503,122,89,5
2024-07-16,campeche,620,24,16,2
2024-07-16,tabasco,1702,61,44,4
2024-07-16,baja california sur,565,27,20,0
2024-07-16,sonora,2630,109,56,6
2024-07-17,tlaxcala,328,18,11,2
2024-07-17,michoacán,1954,91,64,10
2024-07-17,yucatán,1968,94,65,9
2024-07-17,guerrero,910,44,36,4
2024-07-17,tamaulipas,1652,82,59,8
2024-07-17,san luis potosí,994,48,44,4
2024-07-17,sinaloa,2127,138,86,16
2024-07-17,zacatecas,588,21,22,4
2024-07-17,morelos,1300,76,63,6
2024-07-17,coahuila,2219,358,320,9
2024-07-17,jalisco,9238,498,347,44
2024-07-17,aguascalientes,733,31,27,2
2024-07-17,nuevo león,7632,427,304,43
2024-07-17,chihuahua,2294,107,82,11
2024-07-17,quintana roo,2064,104,75,10
2024-07-17,méxico,11654,574,428,55
2024-07-17,puebla,2750,134,115,12
2024-07-17,hidalgo,936,41,44,7
2024-07-17,querétaro,2380,125,90,13
2024-07-17,oaxaca,468,22,23,8
2024-07-17,nayarit,334,15,11,0
2024-07-17,durango,482,20,19,3
2024-07-17,colima,453,22,15,2
2024-07-17,baja california,1775,100,68,10
2024-07-17,mexico city,25126,1404,1189,135
2024-07-17,chiapas,699,42,28,2
2024-07-17,guanajuato,2879,153,105,14
2024-07-17,veracruz,2802,143,110,13
2024-07-17,campeche,549,29,20,5
2024-07-17,tabasco,1425,70,53,10
2024-07-17,baja california sur,473,28,17,1
2024-07-17,sonora,1885,95,63,10
2024-07-18,tlaxcala,420,23,23,2
2024-07-18,michoacán,2054,100,71,7
2024-07-18,yucatán,1965,114,95,9
2024-07-18,guerrero,928,43,30,4
2024-07-18,tamaulipas,1711,79,60,2
2024-07-18,san luis potosí,1035,49,47,8
2024-07-18,sinaloa,2375,109,94,9
2024-07-18,zacatecas,554,38,32,6
2024-07-18,morelos,1450,92,68,3
2024-07-18,coahuila,2327,361,319,11
2024-07-18,jalisco,9642,578,411,62
2024-07-18,aguascalientes,722,36,27,1
2024-07-18,nuevo león,8221,491,357,52
2024-07-18,chihuahua,2262,122,83,10
2024-07-18,quintana roo,2125,99,71,10
2024-07-18,méxico,11747,599,435,51
2024-07-18,puebla,2785,134,108,11
2024-07-18,hidalgo,918,47,40,5
2024-07-18,querétaro,2326,136,103,19
2024-07-18,oaxaca,442,26,17,3
2024-07-18,nayarit,365,27,16,4
2024-07-18,durango,471,30,17,3
2024-07-18,colima,509,25,24,3
2024-07-18,baja california,2043,101,52,3
2024-07-18,mexico city,25526,1571,1245,139
2024-07-18,chiapas,763,41,32,2
2024-07-18,guanajuato,3136,170,146,20
2024-07-18,veracruz,2941,153,124,17
2024-07-18,campeche,494,25,20,2
2024-07-18,tabasco,1518,105,85,15
2024-07-18,baja california sur,479,31,19,1
